,table_id,ip_bytes,ip_packet,ip_duration,in_port,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec,type
92626,0.0,670.0,4.0,0.0,1.0,1855.0,14.0,10.0,12.0,604200.0,603128.0,593577.0,24344.0,110075310.0,1924922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27713.0,5
92627,0.0,0.0,0.0,0.0,1.0,394.0,6.0,10.0,12.0,355870.0,354798.0,349595.0,14268.0,59978304.0,1128668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16117.0,5
92628,0.0,149.0,2.0,2.0,1.0,1999.0,19.0,17.0,19.0,739603.0,738531.0,789389.0,26993.0,271330146.0,2137685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31055.0,5
92629,0.0,670.0,4.0,0.0,1.0,2021.0,16.0,9.0,11.0,1623889.0,1622817.0,1655841.0,61330.0,421766581.0,4846691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70271.0,5
92630,0.0,126.0,2.0,3.0,1.0,5411.0,26.0,9.0,11.0,67340.0,66268.0,71112.0,1561.0,17191875.0,130703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920.0,5
92631,0.0,674.0,4.0,0.0,1.0,2215.0,18.0,14.0,14.0,790479.0,789407.0,842672.0,28624.0,287656760.0,2267009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32972.0,5
92632,0.0,0.0,0.0,1.0,1.0,3380.0,23.0,14.0,16.0,244482.0,243410.0,242311.0,9239.0,43636532.0,732935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10457.0,5
92633,0.0,66.0,1.0,0.0,1.0,597.0,5.0,6.0,8.0,541400.0,540328.0,529883.0,22353.0,89363663.0,1766797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25356.0,5
92634,0.0,222.0,3.0,2.0,1.0,2443.0,24.0,16.0,17.0,563508.0,562436.0,551622.0,23257.0,93354012.0,1838306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26396.0,5
92635,0.0,126.0,2.0,3.0,1.0,1139.0,17.0,12.0,14.0,46970.0,45898.0,51395.0,744.0,14232669.0,66520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5
92636,0.0,670.0,4.0,1.0,1.0,2903.0,22.0,17.0,19.0,406635.0,405563.0,398779.0,16482.0,67885266.0,1303718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18672.0,5
